# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.56437374E+00  -8.18783629E+00   3.76537449E-01
# Error est. for CH(vbm) CH(cbm) diff =   6.38061991E-01   5.66118544E-01  -7.19434467E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -7.99855073E-01  -7.92491019E-01   7.36405424E-03
      2  -1.80929986E+00  -1.46874099E+00   3.40558865E-01
      3  -2.96193424E+00  -2.06347547E+00   8.98458773E-01
      4  -5.09172646E+00  -2.53522327E+00   2.55650319E+00
      5  -5.31955394E+00  -4.19721855E+00   1.12233539E+00
      6  -5.62632471E+00  -4.59758818E+00   1.02873653E+00
      7  -5.92946358E+00  -5.31044614E+00   6.19017442E-01
      8  -6.20689469E+00  -5.73478794E+00   4.72106746E-01
      9  -6.42638862E+00  -5.98275306E+00   4.43635557E-01
     10  -6.61073616E+00  -6.23806746E+00   3.72668693E-01
     11  -6.73637058E+00  -6.42329717E+00   3.13073414E-01
     12  -6.85100825E+00  -6.57405645E+00   2.76951799E-01
     13  -6.95182331E+00  -6.70121471E+00   2.50608600E-01
     14  -7.05941931E+00  -6.82587593E+00   2.33543377E-01
     15  -7.12618418E+00  -6.92311836E+00   2.03065829E-01
     16  -7.18853575E+00  -7.00315647E+00   1.85379287E-01
     17  -7.25642163E+00  -7.07703174E+00   1.79389886E-01
     18  -7.33051309E+00  -7.14314072E+00   1.87372369E-01
     19  -7.38721980E+00  -7.20631683E+00   1.80902970E-01
     20  -7.42393165E+00  -7.25737643E+00   1.66555217E-01
     21  -7.47143313E+00  -7.30612446E+00   1.65308668E-01
     22  -7.51227054E+00  -7.34788814E+00   1.64382397E-01
     23  -7.55187008E+00  -7.38767916E+00   1.64190925E-01
     24  -7.58547725E+00  -7.42283177E+00   1.62645489E-01
     25  -7.61506158E+00  -7.45291371E+00   1.62147876E-01
     26  -7.64105262E+00  -7.48289949E+00   1.58153127E-01
     27  -7.67138199E+00  -7.51005045E+00   1.61331540E-01
     28  -7.69276880E+00  -7.53518983E+00   1.57578968E-01
     29  -7.71255166E+00  -7.55679506E+00   1.55756606E-01
     30  -7.73323124E+00  -7.57729674E+00   1.55934503E-01
     31  -7.75503475E+00  -7.59786692E+00   1.57167826E-01
