# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.25217795E+00  -8.12153964E+00   1.30638307E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.51090420E-01   5.67850833E-01   1.67604134E-02
#    Nb          CH(vbm)          CH(cbm)             diff
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.65867732E+00  -7.18852762E+00   4.70149700E-01
# Error est. for CH(vbm) CH(cbm) diff =   4.46408475E-01   4.26904098E-01  -1.95043773E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -9.57160307E-01  -6.95065922E-01   2.62094385E-01
      2  -1.81347073E+00  -1.30096283E+00   5.12507900E-01
      3  -3.25528874E+00  -1.91495029E+00   1.34033844E+00
      4  -4.96835598E+00  -2.18994343E+00   2.77841255E+00
      5  -5.19959439E+00  -3.63286741E+00   1.56672698E+00
      6  -5.51638800E+00  -4.82765330E+00   6.88734699E-01
      7  -5.75381240E+00  -5.09823228E+00   6.55580122E-01
      8  -5.95607150E+00  -5.37808251E+00   5.77988981E-01
      9  -6.12167374E+00  -5.58631668E+00   5.35357061E-01
     10  -6.28765791E+00  -5.73130584E+00   5.56352071E-01
     11  -6.38421277E+00  -5.86899087E+00   5.15221894E-01
     12  -6.47232032E+00  -5.99425826E+00   4.78062063E-01
     13  -6.55983148E+00  -6.10512085E+00   4.54710631E-01
     14  -6.62678087E+00  -6.18360662E+00   4.43174249E-01
     15  -6.68989135E+00  -6.25897243E+00   4.30918920E-01
     16  -6.75361692E+00  -6.31060727E+00   4.43009649E-01
     17  -6.81308479E+00  -6.36782156E+00   4.45263223E-01
     18  -6.85979206E+00  -6.41996405E+00   4.39828017E-01
     19  -6.90815333E+00  -6.46286509E+00   4.45288235E-01
     20  -6.94950678E+00  -6.50594945E+00   4.43557328E-01
     21  -6.98021208E+00  -6.53969623E+00   4.40515854E-01
     22  -7.01667941E+00  -6.57263001E+00   4.44049394E-01
     23  -7.04618027E+00  -6.60225185E+00   4.43928423E-01
     24  -7.06841642E+00  -6.62769651E+00   4.40719905E-01
     25  -7.09721708E+00  -6.65273650E+00   4.44480576E-01
     26  -7.12204016E+00  -6.67565319E+00   4.46386972E-01
     27  -7.14744502E+00  -6.69655102E+00   4.50893996E-01
     28  -7.16443937E+00  -6.71588380E+00   4.48555568E-01
     29  -7.18041253E+00  -6.73133196E+00   4.49080570E-01
     30  -7.19776840E+00  -6.74646818E+00   4.51300211E-01
     31  -7.21226885E+00  -6.76162353E+00   4.50645323E-01
# k =   0.250000   0.500000   0.750000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.26702592E+00  -7.78499428E+00  -5.17968357E-01
# Error est. for CH(vbm) CH(cbm) diff =   3.79612159E-01   5.91269154E-01   2.11656995E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -9.88516948E-01  -5.55483204E-01   4.33033744E-01
      2  -1.77126012E+00  -1.06947741E+00   7.01782706E-01
      3  -3.35858868E+00  -1.68371844E+00   1.67487024E+00
      4  -4.71346238E+00  -2.27995455E+00   2.43350783E+00
      5  -5.11575001E+00  -3.44492267E+00   1.67082733E+00
      6  -5.39599842E+00  -4.60910765E+00   7.86890774E-01
      7  -5.60096074E+00  -4.90546274E+00   6.95498007E-01
      8  -5.78570626E+00  -5.24480661E+00   5.40899656E-01
      9  -5.92342133E+00  -5.51251588E+00   4.10905442E-01
     10  -6.06522500E+00  -5.81763345E+00   2.47591554E-01
     11  -6.15796549E+00  -5.99928733E+00   1.58678160E-01
     12  -6.24165237E+00  -6.16136747E+00   8.02849039E-02
     13  -6.32040780E+00  -6.28280723E+00   3.76005690E-02
     14  -6.38050081E+00  -6.38761453E+00  -7.11372356E-03
     15  -6.43643549E+00  -6.47211990E+00  -3.56844115E-02
     16  -6.48926541E+00  -6.57476038E+00  -8.54949741E-02
