# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -6.12051559E+00  -6.23865972E+00  -1.18144130E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.97618350E-01   7.42345810E-01   1.44727460E-01
#    Nb          CH(vbm)          CH(cbm)             diff
    290  -5.31681869E+00  -5.25246333E+00   6.43553527E-02
    291  -5.31712750E+00  -5.25278819E+00   6.43393074E-02
    292  -5.31717421E+00  -5.25306520E+00   6.41090138E-02
    293  -5.31730921E+00  -5.25387709E+00   6.34321144E-02
    294  -5.31745574E+00  -5.25400643E+00   6.34493106E-02
    295  -5.31760228E+00  -5.25413577E+00   6.34665068E-02
    296  -5.31764223E+00  -5.25424217E+00   6.34000628E-02
    297  -5.31768883E+00  -5.25436025E+00   6.33285874E-02
    298  -5.31773544E+00  -5.25447833E+00   6.32571118E-02
    299  -5.31773789E+00  -5.25450512E+00   6.32327621E-02
    300  -5.31822753E+00  -5.25467363E+00   6.35538975E-02
    301  -5.31828214E+00  -5.25478049E+00   6.35016506E-02
    302  -5.31833674E+00  -5.25488734E+00   6.34494036E-02
    303  -5.31834783E+00  -5.25491525E+00   6.34325719E-02
    304  -5.31838477E+00  -5.25500717E+00   6.33776025E-02
    305  -5.31841554E+00  -5.25512520E+00   6.32903387E-02
    306  -5.32458577E+00  -5.25572136E+00   6.88644076E-02
    307  -5.32573124E+00  -5.25772311E+00   6.80081356E-02
    308  -5.32687672E+00  -5.25972486E+00   6.71518636E-02
    309  -5.32900565E+00  -5.26016316E+00   6.88424933E-02
    310  -5.32938304E+00  -5.26254454E+00   6.68385002E-02
    311  -5.32976044E+00  -5.26492593E+00   6.48345072E-02
    312  -5.33337641E+00  -5.26630947E+00   6.70669386E-02
    313  -5.33699238E+00  -5.26769301E+00   6.92993700E-02
    314  -5.33785044E+00  -5.27152880E+00   6.63216311E-02
    315  -5.33862553E+00  -5.27697052E+00   6.16550096E-02
    316  -5.34056641E+00  -5.27747505E+00   6.30913627E-02
    317  -5.34177901E+00  -5.27986866E+00   6.19103580E-02
    318  -5.34521852E+00  -5.28027412E+00   6.49443992E-02
    319  -5.34733702E+00  -5.28169986E+00   6.56371648E-02
    320  -5.34945553E+00  -5.28312560E+00   6.63299303E-02
    321  -5.34952134E+00  -5.28410731E+00   6.54140225E-02
    322  -5.35219927E+00  -5.28515722E+00   6.70420528E-02
    323  -5.35240234E+00  -5.28593887E+00   6.64634723E-02
    324  -5.35260541E+00  -5.28672052E+00   6.58848919E-02
    325  -5.35312199E+00  -5.28844218E+00   6.46798115E-02
    326  -5.35378615E+00  -5.28969554E+00   6.40906125E-02
    327  -5.35427920E+00  -5.28998342E+00   6.42957778E-02
    328  -5.35439325E+00  -5.29033658E+00   6.40566711E-02
    329  -5.35450729E+00  -5.29068973E+00   6.38175645E-02
    330  -5.35453845E+00  -5.29078021E+00   6.37582376E-02
    331  -5.35467667E+00  -5.29104103E+00   6.36356474E-02
    332  -5.35481490E+00  -5.29130184E+00   6.35130583E-02
    333  -5.35503412E+00  -5.29153815E+00   6.34959729E-02
    334  -5.35525334E+00  -5.29177445E+00   6.34788861E-02
    335  -5.35533427E+00  -5.29195822E+00   6.33760495E-02
    336  -5.35539176E+00  -5.29215645E+00   6.32353154E-02
    337  -5.35564246E+00  -5.29223369E+00   6.34087700E-02
    338  -5.35568845E+00  -5.29232787E+00   6.33605741E-02
    339  -5.35570852E+00  -5.29236901E+00   6.33395084E-02
    340  -5.35572859E+00  -5.29241014E+00   6.33184427E-02
    341  -5.35573687E+00  -5.29245498E+00   6.32818982E-02
    342  -5.36064075E+00  -5.29290828E+00   6.77324756E-02
    343  -5.36119000E+00  -5.29543095E+00   6.57590481E-02
    344  -5.36173925E+00  -5.29795363E+00   6.37856205E-02
    345  -5.36410381E+00  -5.29846248E+00   6.56413342E-02
    346  -5.36441865E+00  -5.30136508E+00   6.30535681E-02
    347  -5.36473348E+00  -5.30426768E+00   6.04658022E-02
    348  -5.36836062E+00  -5.30553143E+00   6.28291857E-02
    349  -5.37198775E+00  -5.30679518E+00   6.51925694E-02
    350  -5.37291789E+00  -5.31194934E+00   6.09685537E-02
    351  -5.37363773E+00  -5.31225018E+00   6.13875502E-02
    352  -5.37382800E+00  -5.31381121E+00   6.00167872E-02
    353  -5.37424587E+00  -5.31684409E+00   5.74017725E-02
    354  -5.37574045E+00  -5.31770431E+00   5.80361370E-02
    355  -5.37723503E+00  -5.31856452E+00   5.86705016E-02
    356  -5.37775718E+00  -5.31955071E+00   5.82064699E-02
    357  -5.37841664E+00  -5.32121411E+00   5.72025354E-02
    358  -5.38022249E+00  -5.32152246E+00   5.87000268E-02
    359  -5.38049730E+00  -5.32183787E+00   5.86594214E-02
    360  -5.38205843E+00  -5.32218300E+00   5.98754342E-02
    361  -5.38214938E+00  -5.32241179E+00   5.97375873E-02
    362  -5.38224033E+00  -5.32264059E+00   5.95997404E-02
    363  -5.38230917E+00  -5.32278013E+00   5.95290382E-02
    364  -5.38237801E+00  -5.32291968E+00   5.94583359E-02
    365  -5.38238504E+00  -5.32297703E+00   5.94080130E-02
    366  -5.38240456E+00  -5.32301744E+00   5.93871204E-02
    367  -5.38268164E+00  -5.32571477E+00   5.69668669E-02
    368  -5.38295872E+00  -5.32841211E+00   5.45466135E-02
    369  -5.38755098E+00  -5.32982262E+00   5.77283583E-02
    370  -5.38788938E+00  -5.33157973E+00   5.63096427E-02
    371  -5.38822777E+00  -5.33333685E+00   5.48909272E-02
    372  -5.38955872E+00  -5.33886417E+00   5.06945547E-02
    373  -5.38974085E+00  -5.34079911E+00   4.89417366E-02
    374  -5.39078690E+00  -5.34131148E+00   4.94754122E-02
    375  -5.39280632E+00  -5.34339631E+00   4.94100122E-02
    376  -5.39482574E+00  -5.34548113E+00   4.93446118E-02
    377  -5.39922298E+00  -5.34676721E+00   5.24557651E-02
    378  -5.40362021E+00  -5.34805329E+00   5.55669188E-02
    379  -5.40403485E+00  -5.35017442E+00   5.38604348E-02
    380  -5.40498486E+00  -5.35100714E+00   5.39777143E-02
    381  -5.40831399E+00  -5.35163176E+00   5.66822323E-02
    382  -5.40878122E+00  -5.35243153E+00   5.63496858E-02
    383  -5.40924845E+00  -5.35323131E+00   5.60171394E-02
    384  -5.40978774E+00  -5.35449104E+00   5.52967081E-02
    385  -5.41016241E+00  -5.35505972E+00   5.51026867E-02
    386  -5.41053707E+00  -5.35562841E+00   5.49086651E-02
    387  -5.41062694E+00  -5.35579402E+00   5.48329231E-02
    388  -5.41078125E+00  -5.35607207E+00   5.47091888E-02
    389  -5.41086093E+00  -5.35623736E+00   5.46235706E-02
    390  -5.41547723E+00  -5.35675965E+00   5.87175825E-02
    391  -5.41575565E+00  -5.35854474E+00   5.72109115E-02
    392  -5.41603406E+00  -5.36032982E+00   5.57042405E-02
    393  -5.41782997E+00  -5.37089571E+00   4.69342615E-02
    394  -5.41940123E+00  -5.37131496E+00   4.80862701E-02
    395  -5.42010798E+00  -5.37261661E+00   4.74913731E-02
    396  -5.42081473E+00  -5.37391825E+00   4.68964763E-02
    397  -5.42380295E+00  -5.37628453E+00   4.75184175E-02
    398  -5.42679117E+00  -5.37865081E+00   4.81403583E-02
    399  -5.42852284E+00  -5.37939467E+00   4.91281772E-02
    400  -5.42897822E+00  -5.38022858E+00   4.87496348E-02
    401  -5.43191919E+00  -5.38140792E+00   5.05112688E-02
    402  -5.43486016E+00  -5.38258726E+00   5.22729028E-02
    403  -5.43551072E+00  -5.38543277E+00   5.00779500E-02
    404  -5.43583305E+00  -5.38714119E+00   4.86918625E-02
    405  -5.43591194E+00  -5.38790816E+00   4.80037808E-02
    406  -5.43610434E+00  -5.38865139E+00   4.74529453E-02
