# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       9 -0.64616589E+01 -0.57383233E+01  0.72333562E+00  0.64167225E+00
      10 -0.66296940E+01 -0.59300626E+01  0.69963139E+00  0.64167225E+00
      11 -0.67414150E+01 -0.60848126E+01  0.65660238E+00  0.64167225E+00
      12 -0.68468531E+01 -0.62038937E+01  0.64295934E+00  0.64167225E+00
      13 -0.69421895E+01 -0.63255840E+01  0.61660559E+00  0.64167225E+00
      14 -0.70347777E+01 -0.64171886E+01  0.61758904E+00  0.64167225E+00
      15 -0.70985521E+01 -0.65016795E+01  0.59687257E+00  0.64167225E+00
      16 -0.71605552E+01 -0.65724572E+01  0.58809797E+00  0.64167225E+00
      17 -0.72239389E+01 -0.66342509E+01  0.58968808E+00  0.64167225E+00
      18 -0.72881443E+01 -0.66878997E+01  0.60024468E+00  0.64167225E+00
      19 -0.73402033E+01 -0.67397577E+01  0.60044561E+00  0.64167225E+00
      20 -0.73800733E+01 -0.67868700E+01  0.59320331E+00  0.64167225E+00
      21 -0.74182510E+01 -0.68270514E+01  0.59119961E+00  0.64167225E+00
      22 -0.74569226E+01 -0.68643507E+01  0.59257192E+00  0.64167225E+00
      23 -0.74913036E+01 -0.68960850E+01  0.59521865E+00  0.64167225E+00
      24 -0.75204048E+01 -0.69258983E+01  0.59450643E+00  0.64167225E+00
      25 -0.75498285E+01 -0.69539683E+01  0.59586023E+00  0.64167225E+00
      26 -0.75722441E+01 -0.69779842E+01  0.59425992E+00  0.64167225E+00
      27 -0.75986002E+01 -0.70014246E+01  0.59717561E+00  0.64167225E+00
      28 -0.76188268E+01 -0.70233149E+01  0.59551182E+00  0.64167225E+00
      29 -0.76376708E+01 -0.70423937E+01  0.59527705E+00  0.64167225E+00
      30 -0.76569507E+01 -0.70602645E+01  0.59668618E+00  0.64167225E+00
      31 -0.76762323E+01 -0.70768838E+01  0.59934848E+00  0.64167225E+00
      32 -0.76924193E+01 -0.70927927E+01  0.59962660E+00  0.64167225E+00
# k =  0.20000000E+00  0.40000000E+00  0.60000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.93019257E+00 -0.63986761E+00  0.29032496E+00 -0.33645126E+00
       2 -0.17786285E+01 -0.12028103E+01  0.57581824E+00 -0.33645126E+00
       3 -0.29329036E+01 -0.17957728E+01  0.11371307E+01 -0.33645126E+00
       4 -0.49106068E+01 -0.24045875E+01  0.25060194E+01 -0.33645126E+00
       5 -0.53250688E+01 -0.40839850E+01  0.12410838E+01 -0.33645126E+00
