# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
      12 -0.67161065E+01 -0.63418823E+01  0.37422415E+00  0.14956947E+00
      13 -0.68081678E+01 -0.64654797E+01  0.34268811E+00  0.14956947E+00
      14 -0.68921681E+01 -0.65813004E+01  0.31086763E+00  0.14956947E+00
      15 -0.69640088E+01 -0.66729968E+01  0.29101201E+00  0.14956947E+00
      16 -0.70257178E+01 -0.67405321E+01  0.28518569E+00  0.14956947E+00
      17 -0.70885515E+01 -0.68095565E+01  0.27899503E+00  0.14956947E+00
      18 -0.71402579E+01 -0.68699114E+01  0.27034651E+00  0.14956947E+00
      19 -0.71904248E+01 -0.69242767E+01  0.26614812E+00  0.14956947E+00
      20 -0.72362873E+01 -0.69795555E+01  0.25673184E+00  0.14956947E+00
      21 -0.72766643E+01 -0.70229441E+01  0.25372016E+00  0.14956947E+00
      22 -0.73183297E+01 -0.70631737E+01  0.25515607E+00  0.14956947E+00
      23 -0.73491024E+01 -0.70998028E+01  0.24929966E+00  0.14956947E+00
      24 -0.73800950E+01 -0.71345482E+01  0.24554681E+00  0.14956947E+00
      25 -0.74083458E+01 -0.71633002E+01  0.24504562E+00  0.14956947E+00
      26 -0.74406336E+01 -0.71960081E+01  0.24462548E+00  0.14956947E+00
      27 -0.74676484E+01 -0.72257619E+01  0.24188645E+00  0.14956947E+00
      28 -0.74877860E+01 -0.72487930E+01  0.23899299E+00  0.14956947E+00
      29 -0.75066898E+01 -0.72710049E+01  0.23568488E+00  0.14956947E+00
      30 -0.75237117E+01 -0.72905049E+01  0.23320675E+00  0.14956947E+00
      31 -0.75402040E+01 -0.73098649E+01  0.23033910E+00  0.14956947E+00
# k =  0.00000000E+00  0.40000000E+00  0.40000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.99666989E+00 -0.66801262E+00  0.32865727E+00  0.45691445E+00
       2 -0.17497991E+01 -0.12142702E+01  0.53552885E+00  0.45691445E+00
       3 -0.27893031E+01 -0.19430386E+01  0.84626452E+00  0.45691445E+00
       4 -0.50301796E+01 -0.22303767E+01  0.27998029E+01  0.45691445E+00
       5 -0.52420990E+01 -0.41889148E+01  0.10531842E+01  0.45691445E+00
       6 -0.55350210E+01 -0.48535458E+01  0.68147527E+00  0.45691445E+00
       7 -0.57761011E+01 -0.51465725E+01  0.62952857E+00  0.45691445E+00
       8 -0.59807681E+01 -0.53982256E+01  0.58254249E+00  0.45691445E+00
       9 -0.61890185E+01 -0.55672363E+01  0.62178220E+00  0.45691445E+00
      10 -0.63210427E+01 -0.57370517E+01  0.58399108E+00  0.45691445E+00
      11 -0.64067081E+01 -0.58865393E+01  0.52016873E+00  0.45691445E+00
      12 -0.65132076E+01 -0.59915756E+01  0.52163192E+00  0.45691445E+00
