# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
      26 -0.43672346E+00 -0.62704242E+00 -0.19031896E+00 -0.11010938E+00
      27 -0.44613715E+00 -0.64515102E+00 -0.19901386E+00 -0.11010938E+00
      28 -0.45695106E+00 -0.67934237E+00 -0.22239131E+00 -0.11010938E+00
      29 -0.46693839E+00 -0.71356120E+00 -0.24662281E+00 -0.11010938E+00
      30 -0.47375689E+00 -0.72615366E+00 -0.25239677E+00 -0.11010938E+00
      31 -0.48386758E+00 -0.73846704E+00 -0.25459946E+00 -0.11010938E+00
      32 -0.51376852E+00 -0.76870967E+00 -0.25494114E+00 -0.11010938E+00
      33 -0.52375884E+00 -0.78167225E+00 -0.25791341E+00 -0.11010938E+00
      34 -0.58639864E+00 -0.84045879E+00 -0.25406015E+00 -0.11010938E+00
      35 -0.60809594E+00 -0.88240456E+00 -0.27430862E+00 -0.11010938E+00
      36 -0.62976459E+00 -0.92438413E+00 -0.29461954E+00 -0.11010938E+00
      37 -0.69568465E+00 -0.97824166E+00 -0.28255701E+00 -0.11010938E+00
      38 -0.76032237E+00 -0.10317329E+01 -0.27141053E+00 -0.11010938E+00
      39 -0.78167027E+00 -0.10572417E+01 -0.27557146E+00 -0.11010938E+00
      40 -0.80380308E+00 -0.10824635E+01 -0.27866037E+00 -0.11010938E+00
      41 -0.82516370E+00 -0.10960829E+01 -0.27091924E+00 -0.11010938E+00
      42 -0.84777092E+00 -0.11119562E+01 -0.26418524E+00 -0.11010938E+00
      43 -0.86485395E+00 -0.11217128E+01 -0.25685882E+00 -0.11010938E+00
      44 -0.91693276E+00 -0.11500828E+01 -0.23315008E+00 -0.11010938E+00
      45 -0.96910802E+00 -0.11799086E+01 -0.21080063E+00 -0.11010938E+00
      46 -0.99241437E+00 -0.11947525E+01 -0.20233812E+00 -0.11010938E+00
      47 -0.10165531E+01 -0.12147588E+01 -0.19820578E+00 -0.11010938E+00
      48 -0.11080417E+01 -0.12628788E+01 -0.15483708E+00 -0.11010938E+00
      49 -0.12386303E+01 -0.13449977E+01 -0.10636733E+00 -0.11010938E+00
      50 -0.12542148E+01 -0.13645934E+01 -0.11037868E+00 -0.11010938E+00
      51 -0.12746205E+01 -0.13836777E+01 -0.10905720E+00 -0.11010938E+00
      52 -0.13132977E+01 -0.14127106E+01 -0.99412903E-01 -0.11010938E+00
      53 -0.13658204E+01 -0.14876440E+01 -0.12182362E+00 -0.11010938E+00
      54 -0.14606658E+01 -0.15390462E+01 -0.78380395E-01 -0.11010938E+00
      55 -0.15429289E+01 -0.15994014E+01 -0.56472585E-01 -0.11010938E+00
      56 -0.16341145E+01 -0.16968822E+01 -0.62767736E-01 -0.11010938E+00
      57 -0.18037836E+01 -0.18290805E+01 -0.25296925E-01 -0.11010938E+00
      58 -0.19368768E+01 -0.19978127E+01 -0.60935921E-01 -0.11010938E+00
      59 -0.22134220E+01 -0.20976813E+01  0.11574064E+00 -0.11010938E+00
      60 -0.24472043E+01 -0.21975368E+01  0.24966749E+00 -0.11010938E+00
      61 -0.27524903E+01 -0.22940342E+01  0.45845604E+00 -0.11010938E+00
      62 -0.29368343E+01 -0.23905447E+01  0.54628967E+00 -0.11010938E+00
      63 -0.35142767E+01 -0.24982303E+01  0.10160464E+01 -0.11010938E+00
      64 -0.39181033E+01 -0.26059236E+01  0.13121797E+01 -0.11010938E+00
      65 -0.39977232E+01 -0.31469523E+01  0.85077093E+00 -0.11010938E+00
      66 -0.41549141E+01 -0.34285769E+01  0.72633719E+00 -0.11010938E+00
      67 -0.42611301E+01 -0.39504338E+01  0.31069635E+00 -0.11010938E+00
      68 -0.43980102E+01 -0.41400884E+01  0.25792189E+00 -0.11010938E+00
      69 -0.45759866E+01 -0.44258217E+01  0.15016495E+00 -0.11010938E+00
      70 -0.47819560E+01 -0.46171327E+01  0.16482322E+00 -0.11010938E+00
      71 -0.49169325E+01 -0.48298596E+01  0.87072924E-01 -0.11010938E+00
      72 -0.50076279E+01 -0.49176814E+01  0.89946432E-01 -0.11010938E+00
      73 -0.51160224E+01 -0.50050455E+01  0.11097684E+00 -0.11010938E+00
      74 -0.51493733E+01 -0.50481696E+01  0.10120369E+00 -0.11010938E+00
      75 -0.51925499E+01 -0.50850704E+01  0.10747956E+00 -0.11010938E+00
      76 -0.52025701E+01 -0.51102064E+01  0.92363752E-01 -0.11010938E+00
      77 -0.52321701E+01 -0.51689394E+01  0.63230735E-01 -0.11010938E+00
      78 -0.52742395E+01 -0.51951241E+01  0.79115414E-01 -0.11010938E+00
      79 -0.52868979E+01 -0.52100186E+01  0.76879317E-01 -0.11010938E+00
      80 -0.53024982E+01 -0.52281221E+01  0.74376065E-01 -0.11010938E+00
      81 -0.53122245E+01 -0.52357906E+01  0.76433904E-01 -0.11010938E+00
      82 -0.53150040E+01 -0.52411530E+01  0.73850941E-01 -0.11010938E+00
      83 -0.53370628E+01 -0.52862461E+01  0.50816706E-01 -0.11010938E+00
      84 -0.53518423E+01 -0.53187381E+01  0.33104162E-01 -0.11010938E+00
      85 -0.53675977E+01 -0.53367705E+01  0.30827196E-01 -0.11010938E+00
      86 -0.54084819E+01 -0.53651871E+01  0.43294738E-01 -0.11010938E+00
      87 -0.54183213E+01 -0.53893885E+01  0.28932780E-01 -0.11010938E+00
      88 -0.54257781E+01 -0.53988648E+01  0.26913358E-01 -0.11010938E+00
      89 -0.54416756E+01 -0.54064581E+01  0.35217510E-01 -0.11010938E+00
      90 -0.54440925E+01 -0.54077851E+01  0.36307364E-01 -0.11010938E+00
      91 -0.54464117E+01 -0.54094973E+01  0.36914391E-01 -0.11010938E+00
      92 -0.54478194E+01 -0.54109043E+01  0.36915008E-01 -0.11010938E+00
      93 -0.54488066E+01 -0.54118556E+01  0.36951035E-01 -0.11010938E+00
