
 a1 =   6.141609905   0.000000000   0.000000000
 a2 =  -3.070804952   5.318790197   0.000000000
 a3 =   0.000000000   0.000000000   9.826575848

 b1 =   1.023051839   0.590659255  -0.000000000
 b2 =   0.000000000   1.181318509   0.000000000
 b3 =   0.000000000  -0.000000000   0.639407399

 volume = 320.994283565

 cutoff = 40.000000000

 grid = ( 13 13 19 ) -- minimal
        ( 13 13 20 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 15 15 20 ) -- factors 2, 3, 5

 gmax = ( 6 6 9 )

 ng = 1387

     n   g1    g2    g3     gx        gy        gz        ekin
   207    -3     0    -1    -3.069    -1.772    -0.639    12.968462603
   208    -3     0     0    -3.069    -1.772     0.000    12.559620781
   209    -3     0     1    -3.069    -1.772     0.639    12.968462603
   210    -3     0     2    -3.069    -1.772     1.279    14.194988070
   211    -3     0     3    -3.069    -1.772     1.918    16.239197182
   212    -3     0     4    -3.069    -1.772     2.558    19.101089938
   213    -3     0     5    -3.069    -1.772     3.197    22.780666339
   214    -3     0     6    -3.069    -1.772     3.836    27.277926384
   215    -3     0     7    -3.069    -1.772     4.476    32.592870074
   216    -3     0     8    -3.069    -1.772     5.115    38.725497409
   217    -3     1    -8    -3.069    -0.591    -5.115    35.934470568
   218    -3     1    -7    -3.069    -0.591    -4.476    29.801843234
   219    -3     1    -6    -3.069    -0.591    -3.836    24.486899544
   220    -3     1    -5    -3.069    -0.591    -3.197    19.989639498
   221    -3     1    -4    -3.069    -0.591    -2.558    16.310063098
   222    -3     1    -3    -3.069    -0.591    -1.918    13.448170341
   223    -3     1    -2    -3.069    -0.591    -1.279    11.403961230
   224    -3     1    -1    -3.069    -0.591    -0.639    10.177435763
   225    -3     1     0    -3.069    -0.591     0.000     9.768593941
   226    -3     1     1    -3.069    -0.591     0.639    10.177435763
   227    -3     1     2    -3.069    -0.591     1.279    11.403961230
   228    -3     1     3    -3.069    -0.591     1.918    13.448170341
   229    -3     1     4    -3.069    -0.591     2.558    16.310063098
   230    -3     1     5    -3.069    -0.591     3.197    19.989639498
   231    -3     1     6    -3.069    -0.591     3.836    24.486899544
   232    -3     1     7    -3.069    -0.591     4.476    29.801843234
   233    -3     1     8    -3.069    -0.591     5.115    35.934470568
   234    -3     2    -8    -3.069     0.591    -5.115    35.934470569
   235    -3     2    -7    -3.069     0.591    -4.476    29.801843234
   236    -3     2    -6    -3.069     0.591    -3.836    24.486899544
   237    -3     2    -5    -3.069     0.591    -3.197    19.989639499
   238    -3     2    -4    -3.069     0.591    -2.558    16.310063098
   239    -3     2    -3    -3.069     0.591    -1.918    13.448170342
   240    -3     2    -2    -3.069     0.591    -1.279    11.403961231
   241    -3     2    -1    -3.069     0.591    -0.639    10.177435764
   242    -3     2     0    -3.069     0.591     0.000     9.768593941
   243    -3     2     1    -3.069     0.591     0.639    10.177435764
   244    -3     2     2    -3.069     0.591     1.279    11.403961231
   245    -3     2     3    -3.069     0.591     1.918    13.448170342
